Location,Age,Sex,Measure,Metric,Pathogen,Antibiotic class,Counterfactual,Year,Value,Upper,Lower
Afghanistan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1990,13.6770095618416,19.70079625899314,7.65322286469006
Afghanistan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1991,13.129285303850333,18.6035058747659,7.655064732934766
Afghanistan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1992,14.361157923329976,20.290969839987643,8.43134600667231
Afghanistan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1993,16.26518104343196,22.890178451681148,9.640183635182767
Afghanistan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1994,19.02388416106894,26.62439469830194,11.423373623835936
Afghanistan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1995,20.445956376441337,28.438152296197327,12.453760456685348
Afghanistan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1996,21.95435379798976,30.236045760010207,13.672661835969317
Afghanistan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1997,22.61539676697957,31.346565361622005,13.884228172337131
Afghanistan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1998,23.23319950283447,32.192243575175105,14.274155430493837
Afghanistan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1999,23.908785112482747,32.76493737025598,15.052632854709511
Afghanistan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2000,23.699336908918568,32.8380809493107,14.560592868526433
Afghanistan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2001,23.165418367080093,31.87899658314804,14.451840151012147
Afghanistan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2002,22.929120370042032,32.107508165115206,13.750732574968858
Afghanistan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2003,20.81879986415368,28.8881447495417,12.749454978765666
Afghanistan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2004,21.20075811326004,29.721386877805354,12.680129348714718
Afghanistan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2005,20.1925629277409,27.677041967729814,12.70808388775199
Afghanistan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2006,19.73004597394043,27.6020709162024,11.858021031678463
Afghanistan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2007,19.177202984944856,26.62043141763362,11.733974552256091
Afghanistan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2008,19.28728659549956,26.66675440779405,11.90781878320507
Afghanistan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2009,18.390946950461235,25.129494414843563,11.652399486078908
Afghanistan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2010,17.864408310550854,24.416898932788484,11.311917688313224
Afghanistan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2011,16.103699247690777,22.15130821123213,10.056090284149418
Afghanistan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2012,15.05407715484981,21.4113435585178,8.696810751181822
Afghanistan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2013,15.541275085041796,21.765246696912666,9.317303473170927
