Location,Age,Sex,Measure,Metric,Pathogen,Antibiotic class,Counterfactual,Year,Value,Upper,Lower
Algeria,55 to 59,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,1990,179.24606649977744,261.32483269756284,97.16730030199206
Algeria,55 to 59,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,1991,175.44059609825334,257.6316480756699,93.2495441208368
Algeria,55 to 59,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,1992,180.3373314458853,260.1944505525264,100.4802123392442
Algeria,55 to 59,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,1993,187.2326936835114,271.3892732318486,103.07611413517418
Algeria,55 to 59,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,1994,205.4368712866935,280.60505148775246,130.26869108563454
Algeria,55 to 59,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,1995,211.7585387191465,290.3761924142822,133.14088502401086
Algeria,55 to 59,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,1996,209.1956183896628,288.9728049970258,129.41843178229982
Algeria,55 to 59,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,1997,230.9181629468289,314.91395185992087,146.922374033737
Algeria,55 to 59,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,1998,233.5492439395321,318.5848584253505,148.5136294537139
Algeria,55 to 59,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,1999,237.13922194825955,320.9598608318577,153.31858306466137
Algeria,55 to 59,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,2000,250.76478895026517,339.4880136797056,162.04156422082468
Algeria,55 to 59,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,2001,255.3743157700588,339.7545845780797,170.99404696203788
Algeria,55 to 59,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,2002,262.27023685912854,346.64648419044823,177.89398952780886
Algeria,55 to 59,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,2003,289.8897319211292,385.4667828428128,194.3126809994457
Algeria,55 to 59,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,2004,309.14726074393616,410.40658787510745,207.88793361276487
Algeria,55 to 59,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,2005,336.4621712120828,441.6466479541449,231.27769447002072
Algeria,55 to 59,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,2006,385.2970907053233,491.4206492834937,279.17353212715284
Algeria,55 to 59,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,2007,402.4738334849415,520.3935771051432,284.5540898647398
Algeria,55 to 59,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,2008,432.56181538571286,553.350892228626,311.77273854279974
Algeria,55 to 59,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,2009,443.83464359005393,571.1271240044075,316.5421631757004
Algeria,55 to 59,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,2010,449.25684730129694,569.0805030996723,329.43319150292155
Algeria,55 to 59,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,2011,465.8887236835568,597.8336662211623,333.9437811459514
Algeria,55 to 59,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,2012,490.4907771476991,617.9938206643908,362.98773363100736
Algeria,55 to 59,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,2013,500.0311193733392,627.8983924602802,372.1638462863982
Algeria,55 to 59,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,2014,541.1920498903586,688.8487363632103,393.5353634175069
Algeria,55 to 59,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,2015,558.838473946578,699.4290275353543,418.2479203578017
Algeria,55 to 59,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,2016,568.9038753414,700.2147983494199,437.59295233338
Algeria,55 to 59,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,2017,561.6557011094143,693.9378591276813,429.3735430911472
Algeria,55 to 59,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,2018,519.968720830896,646.7058544011935,393.2315872605985
Algeria,55 to 59,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,2019,522.0955101155423,672.2202112411876,371.9708089898971
Algeria,55 to 59,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,2020,521.759785428198,669.2574437488022,374.2621271075938
Algeria,55 to 59,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,2021,522.68707081311,692.301287334586,353.072854291634
Algeria,55 to 59,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Enterobacter spp.,Carbapenems,Attributable,1990,15.961914424943206,22.033436008836183,9.890392841050229
Algeria,55 to 59,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Enterobacter spp.,Carbapenems,Attributable,1991,17.017144762162914,23.81529693740696,10.218992586918873
Algeria,55 to 59,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Enterobacter spp.,Carbapenems,Attributable,1992,17.45014951751871,23.660386617492826,11.239912417544598
Algeria,55 to 59,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Enterobacter spp.,Carbapenems,Attributable,1993,17.873099525196267,24.57612712629971,11.170071924092824
Algeria,55 to 59,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Enterobacter spp.,Carbapenems,Attributable,1994,17.869694910866343,23.65935146802116,12.08003835371153
Algeria,55 to 59,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Enterobacter spp.,Carbapenems,Attributable,1995,18.06436543348641,24.226937449480413,11.90179341749241
Algeria,55 to 59,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Enterobacter spp.,Carbapenems,Attributable,1996,17.222321511171696,23.53278627525517,10.911856747088224
Algeria,55 to 59,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Enterobacter spp.,Carbapenems,Attributable,1997,17.74477566731148,23.785186012759976,11.704365321862984
Algeria,55 to 59,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Enterobacter spp.,Carbapenems,Attributable,1998,15.135790130876725,20.38820067602053,9.883379585732913
Algeria,55 to 59,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Enterobacter spp.,Carbapenems,Attributable,1999,17.03785759880467,22.77524100215368,11.300474195455664
Algeria,55 to 59,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Enterobacter spp.,Carbapenems,Attributable,2000,19.16424909487433,25.725763058747628,12.60273513100103
Algeria,55 to 59,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Enterobacter spp.,Carbapenems,Attributable,2001,19.30327125931099,26.07704433156526,12.529498187056715
Algeria,55 to 59,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Enterobacter spp.,Carbapenems,Attributable,2002,19.274878272522034,25.802498830902262,12.7472577141418
Algeria,55 to 59,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Enterobacter spp.,Carbapenems,Attributable,2003,17.935562425711705,24.436121756580658,11.435003094842752
Algeria,55 to 59,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Enterobacter spp.,Carbapenems,Attributable,2004,20.534439812657467,28.269526217388343,12.799353407926592
Algeria,55 to 59,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Enterobacter spp.,Carbapenems,Attributable,2005,19.348316788601885,26.07645677126252,12.620176805941249
Algeria,55 to 59,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Enterobacter spp.,Carbapenems,Attributable,2006,22.68616169413514,30.59685170204048,14.775471686229803
Algeria,55 to 59,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Enterobacter spp.,Carbapenems,Attributable,2007,23.06568705277234,31.069119131984653,15.062254973560028
Algeria,55 to 59,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Enterobacter spp.,Carbapenems,Attributable,2008,11.836865051603446,16.230256729653682,7.443473373553211
Algeria,55 to 59,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Enterobacter spp.,Carbapenems,Attributable,2009,11.569178008595468,15.765114837134082,7.37324118005685
Algeria,55 to 59,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Enterobacter spp.,Carbapenems,Attributable,2010,10.811395537470853,14.643222032346715,6.979569042594987
Algeria,55 to 59,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Enterobacter spp.,Carbapenems,Attributable,2011,11.047678945491562,14.98030848360527,7.115049407377853
Algeria,55 to 59,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Enterobacter spp.,Carbapenems,Attributable,2012,12.554202923572326,17.0435299449723,8.064875902172354
Algeria,55 to 59,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Enterobacter spp.,Carbapenems,Attributable,2013,12.633865853046998,17.181007894392607,8.08672381170139
Algeria,55 to 59,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Enterobacter spp.,Carbapenems,Attributable,2014,12.99489356692392,17.883750445725035,8.106036688122808
Algeria,55 to 59,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Enterobacter spp.,Carbapenems,Attributable,2015,14.090070429695777,19.21898247782162,8.96115838156993
Algeria,55 to 59,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Enterobacter spp.,Carbapenems,Attributable,2016,13.804081102648688,18.75316331579129,8.854998889506081
Algeria,55 to 59,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Enterobacter spp.,Carbapenems,Attributable,2017,14.71372277727916,19.89644430571088,9.531001248847442
Algeria,55 to 59,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Enterobacter spp.,Carbapenems,Attributable,2018,15.942854047808185,21.5465454149317,10.33916268068467
Algeria,55 to 59,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Enterobacter spp.,Carbapenems,Attributable,2019,16.426448317486194,23.29898598984183,9.553910645130555
Algeria,55 to 59,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Enterobacter spp.,Carbapenems,Attributable,2020,17.293768577519188,24.11001899646741,10.477518158570966
Algeria,55 to 59,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Enterobacter spp.,Carbapenems,Attributable,2021,17.597192422438763,24.76610309278833,10.428281752089196
Algeria,55 to 59,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Escherichia coli,Carbapenems,Attributable,1990,12.102335237898076,26.734158124069825,0
Algeria,55 to 59,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Escherichia coli,Carbapenems,Attributable,1991,11.18783428850331,24.61284495852789,0
Algeria,55 to 59,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Escherichia coli,Carbapenems,Attributable,1992,11.618251822551477,24.74911142933066,0
Algeria,55 to 59,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Escherichia coli,Carbapenems,Attributable,1993,13.77502149177408,30.14366144455818,0
