Location,Age,Sex,Measure,Metric,Pathogen,Antibiotic class,Counterfactual,Year,Value,Upper,Lower
American Samoa,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1990,0.0185314535661577,0.024986465860456,0.0120764412718595
American Samoa,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1991,0.0198458490425991,0.0262174808301653,0.0134742172550329
American Samoa,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1992,0.01987116660273704,0.02601905512990761,0.013723278075566458
American Samoa,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1993,0.0198688313135997,0.0264886721882336,0.0132489904389659
American Samoa,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1994,0.0202216968337861,0.0262632484875689,0.0141801451800034
American Samoa,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1995,0.0227329808672487,0.0298835543323776,0.0155824074021198
American Samoa,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1996,0.0225401520386452,0.0293695388012414,0.015710765276049
American Samoa,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1997,0.0202176901357858,0.0264875591610134,0.0139478211105581
American Samoa,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1998,0.0207207378186534,0.027506636099969,0.0139348395373378
American Samoa,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1999,0.01999153587064473,0.02648289405177393,0.01350017768951553
American Samoa,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2000,0.01985167796883881,0.02627823210855483,0.01342512382912278
American Samoa,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2001,0.02019219942222829,0.027019579065230996,0.013364819779225596
American Samoa,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2002,0.019810804141038127,0.02710948953796193,0.012512118744114323
American Samoa,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2003,0.0186796532260219,0.025735169548011947,0.011624136904031851
American Samoa,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2004,0.01807355540876536,0.02421324946937428,0.011933861348156431
American Samoa,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2005,0.017216831022876536,0.02289029932591293,0.01154336271984014
American Samoa,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2006,0.015819225200553455,0.02147327499647822,0.01016517540462869
American Samoa,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2007,0.015484038172133703,0.02040831752200079,0.010559758822266618
American Samoa,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2008,0.015033628084767143,0.02001619882449603,0.01005105734503826
American Samoa,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2009,0.01428597799143514,0.018778683763821517,0.009793272219048767
American Samoa,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2010,0.013242857661793226,0.017166462261992754,0.009319253061593698
American Samoa,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2011,0.011625261887081613,0.015033661969610054,0.008216861804553171
American Samoa,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2012,0.011048209519130403,0.014808447363163122,0.007287971675097688
American Samoa,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2013,0.010741440962345406,0.01422797853568255,0.007254903389008262
American Samoa,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2014,0.010510866368286263,0.013701324673746608,0.007320408062825919
American Samoa,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2015,0.010156937057868924,0.012976524404429354,0.007337349711308491
American Samoa,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2016,0.010078488464695633,0.012989095698660766,0.0071678812307305
American Samoa,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2017,0.009356126248884471,0.012118576437571593,0.00659367606019735
American Samoa,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2018,0.00861599238524148,0.010763903866738374,0.006468080903744587
American Samoa,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2019,0.007683786057954861,0.010200394175271911,0.005167177940637809
American Samoa,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2020,0.007552407594866579,0.0101012927495975,0.005003522440135659
American Samoa,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2021,0.006150986006751499,0.00805805705801183,0.0042439149554911685
American Samoa,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,1990,0.001406353184593,0.0020357314770132,0.0007769748921727
American Samoa,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,1991,0.0013875971238274,0.0019828254460841,0.0007923688015707
American Samoa,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,1992,0.0013610716194696075,0.001940942432290003,0.0007812008066492119
American Samoa,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,1993,0.0013454586326893,0.001943787553399,0.0007471297119797
American Samoa,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,1994,0.0013163291282148,0.0018909781499225,0.0007416801065072
American Samoa,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,1995,0.0012849003593433,0.0018761258961379,0.0006936748225486
American Samoa,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,1996,0.0012525027859146,0.0018173797328606,0.0006876258389686
American Samoa,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,1997,0.0012066088748706,0.0017801538267501,0.0006330639229911
American Samoa,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,1998,0.0012070534242035,0.0018090360268941,0.000605070821513
American Samoa,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,1999,0.0012076242079576017,0.0017854936696360957,0.0006297547462791077
American Samoa,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2000,0.0011786987124639842,0.0017384721299447546,0.0006189252949832138
American Samoa,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2001,0.0011529244422894662,0.0017118351024137928,0.0005940137821651396
American Samoa,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2002,0.0011421094830510565,0.0016982744659125185,0.0005859445001895943
American Samoa,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2003,0.0011049620150808408,0.001650125853860414,0.0005597981763012677
American Samoa,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2004,0.0010420443340456071,0.0015294563142310691,0.0005546323538601452
American Samoa,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2005,0.0009663928453985732,0.0014177143532412282,0.0005150713375559181
American Samoa,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2006,0.0009018119713706696,0.0013481407493342113,0.000455483193407128
American Samoa,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2007,0.0008201885793904765,0.0012293986711081155,0.0004109784876728371
American Samoa,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2008,0.0007773622327770583,0.0011747595316196429,0.0003799649339344738
American Samoa,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2009,0.0007544240856584486,0.0011143416814483088,0.0003945064898685883
American Samoa,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2010,0.0006994366304970346,0.0010406215868563316,0.0003582516741377375
American Samoa,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2011,0.0006836613241236256,0.0009930577474356224,0.00037426490081162887
American Samoa,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2012,0.000642724885241186,0.0009377552400089012,0.0003476945304734709
American Samoa,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2013,0.0005980395125769111,0.0008746609311929842,0.00032141809396083804
American Samoa,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2014,0.0005504442308096784,0.0008245085508553529,0.00027637991076400386
American Samoa,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2015,0.0005553306227145432,0.0008132791588254115,0.00029738208660367487
