Location,Age,Sex,Measure,Metric,Pathogen,Antibiotic class,Counterfactual,Year,Value,Upper,Lower
Andorra,65 to 69,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Associated,1990,0.07079468039426101,0.10878148413954432,0.032807876648977705
Andorra,65 to 69,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Associated,1991,0.07590995246386709,0.11583155079727887,0.03598835413045528
Andorra,65 to 69,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Associated,1992,0.07109004154848395,0.10811685266127168,0.034063230435696194
Andorra,65 to 69,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Associated,1993,0.07822652632560217,0.11825996291603216,0.038193089735172187
Andorra,65 to 69,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Associated,1994,0.08040942237007348,0.12075724850289536,0.04006159623725161
Andorra,65 to 69,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Associated,1995,0.07573489625686255,0.11389927086165214,0.03757052165207298
Andorra,65 to 69,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Associated,1996,0.06616609900057081,0.10029651165013004,0.03203568635101159
Andorra,65 to 69,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Associated,1997,0.07195565469842649,0.1086572937069454,0.03525401568990757
Andorra,65 to 69,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Associated,1998,0.07537165953049653,0.11379810907524912,0.03694520998574394
Andorra,65 to 69,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Associated,1999,0.07267188002335673,0.1087186183708666,0.03662514167584686
Andorra,65 to 69,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Associated,2000,0.0738268250840163,0.1108460842398939,0.036807565928138726
Andorra,65 to 69,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Associated,2001,0.06980892124696969,0.10465168311471684,0.03496615937922255
Andorra,65 to 69,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Associated,2002,0.0673086288983801,0.0995156044537898,0.035101653342970406
Andorra,65 to 69,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Associated,2003,0.06616066702916402,0.09833074760913474,0.03399058644919332
Andorra,65 to 69,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Associated,2004,0.0597808099685766,0.08881645927573845,0.030745160661414743
Andorra,65 to 69,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Associated,2005,0.05891592154988364,0.08699990035504306,0.03083194274472421
Andorra,65 to 69,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Associated,2006,0.06491423848944394,0.09485004174969627,0.0349784352291916
Andorra,65 to 69,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Associated,2007,0.06938990690034282,0.09944298381692844,0.03933682998375718
Andorra,65 to 69,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Associated,2008,0.07412744030899492,0.10794335240502612,0.0403115282129637
Andorra,65 to 69,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Associated,2009,0.08649709075881637,0.12584389684992012,0.04715028466771263
Andorra,65 to 69,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Associated,2010,0.07887610460040334,0.1151910316201322,0.04256117758067448
Andorra,65 to 69,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Associated,2011,0.08768183528572311,0.1250828448286922,0.05028082574275401
Andorra,65 to 69,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Associated,2012,0.07955752197655164,0.1118848641202585,0.04723017983284478
Andorra,65 to 69,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Associated,2013,0.08149623640123782,0.11449442845837925,0.04849804434409641
Andorra,65 to 69,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Associated,2014,0.08396703600502112,0.11645186511835898,0.05148220689168325
Andorra,65 to 69,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Associated,2015,0.08748984487668987,0.12174635190482548,0.05323333784855427
Andorra,65 to 69,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Associated,2016,0.08282741380499263,0.1169514724007054,0.04870335520927988
Andorra,65 to 69,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Associated,2017,0.07660682226659071,0.11079812499467052,0.04241551953851092
Andorra,65 to 69,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Associated,2018,0.07459968242296063,0.10844285266135496,0.04075651218456629
Andorra,65 to 69,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Associated,2019,0.07610158278381807,0.10964591045687648,0.04255725511075967
Andorra,65 to 69,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Associated,2020,0.06137872449008184,0.09212308661952905,0.030634362360634645
Andorra,65 to 69,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Associated,2021,0.06147289006218701,0.09374964172133564,0.029196138403038363
Andorra,65 to 69,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Associated,1990,0.007488883749212617,0.015406708099963418,0.0026619197090023403
Andorra,65 to 69,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Associated,1991,0.007396884083151661,0.015209155765870345,0.00257711342217397
Andorra,65 to 69,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Associated,1992,0.007501884918538851,0.01517512880912723,0.0026913867519395675
Andorra,65 to 69,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Associated,1993,0.007853312136850846,0.015674504588681998,0.000032119685019692604
Andorra,65 to 69,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Associated,1994,0.00791538573827083,0.015499653553655368,0.00033111792288629486
Andorra,65 to 69,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Associated,1995,0.007793384076779082,0.015224140564211128,0.0003626275893470355
Andorra,65 to 69,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Associated,1996,0.007862892127911988,0.0151943179263659,0.0005314663294580758
Andorra,65 to 69,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Associated,1997,0.007750647093576969,0.0151781842395931,0.00032310994756084
Andorra,65 to 69,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Associated,1998,0.007801327414406936,0.015211324472457106,0.0003913303563567666
Andorra,65 to 69,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Associated,1999,0.007900851953506666,0.015189487128420016,0.0006122167785933162
Andorra,65 to 69,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Associated,2000,0.008329627329000583,0.016131079256591047,0.0005281754014101175
Andorra,65 to 69,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Associated,2001,0.00781544528250465,0.01514420517833412,0.0004866853866751812
Andorra,65 to 69,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Associated,2002,0.007791026243209041,0.014798218917992049,0.0007838335684260348
Andorra,65 to 69,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Associated,2003,0.007557876794472483,0.014431446320501948,0.000684307268443019
Andorra,65 to 69,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Associated,2004,0.00681297238616738,0.012990108203426196,0.0006358365689085634
Andorra,65 to 69,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Associated,2005,0.006650572209677491,0.012654983745887282,0.0006461606734676998
Andorra,65 to 69,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Associated,2006,0.006313158572586439,0.012123323409444518,0.0005029937357283595
Andorra,65 to 69,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Associated,2007,0.006272602568031248,0.012009469925992111,0.0005357352100703863
Andorra,65 to 69,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Associated,2008,0.007327079034115823,0.014137492794116408,0.0005166652741152387
Andorra,65 to 69,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Associated,2009,0.008997925417872782,0.017435780582389166,0.0005600702533563977
Andorra,65 to 69,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Associated,2010,0.00976633459505723,0.018835988972904037,0.0006966802172104266
Andorra,65 to 69,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Associated,2011,0.00905221450124134,0.017648137971274305,0.0004562910312083789
Andorra,65 to 69,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Associated,2012,0.008818577435910344,0.017080629227809868,0.000556525644010819
Andorra,65 to 69,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Associated,2013,0.008480037030821532,0.016586420890314008,0.0003736531713290584
Andorra,65 to 69,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Associated,2014,0.008334818920913829,0.016005629532835068,0.0006640083089925882
Andorra,65 to 69,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Associated,2015,0.008205088267648111,0.016213450495961457,0.00019672603933476585
Andorra,65 to 69,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Associated,2016,0.010419507230054095,0.02041232404448224,0.00042669041562595593
Andorra,65 to 69,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Associated,2017,0.01042712369865749,0.02075809493464411,0.00009615246267086729
Andorra,65 to 69,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Associated,2018,0.010626224359217897,0.02095480480542326,0.0002976439130125304
Andorra,65 to 69,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Associated,2019,0.01047844536867484,0.02051930317844856,0.00043758755890112126
Andorra,65 to 69,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Associated,2020,0.009277805830896858,0.018464968358634017,0.00009064330315970184
Andorra,65 to 69,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Associated,2021,0.00947547454292105,0.019342295838135515,0.003389659214066537
Andorra,65 to 69,Both sexes,Deaths,Number,Escherichia coli,Carbapenems,Associated,1990,0.02848428591176313,0.06832753529010442,0.007070108448274504
Andorra,65 to 69,Both sexes,Deaths,Number,Escherichia coli,Carbapenems,Associated,1991,0.026721679389336075,0.06429175604353199,0.0065001538596397785
Andorra,65 to 69,Both sexes,Deaths,Number,Escherichia coli,Carbapenems,Associated,1992,0.02707461188938282,0.06366493857641763,0.006818077783513335
Andorra,65 to 69,Both sexes,Deaths,Number,Escherichia coli,Carbapenems,Associated,1993,0.028468478797701837,0.06594506239321195,0.007305197754674469
Andorra,65 to 69,Both sexes,Deaths,Number,Escherichia coli,Carbapenems,Associated,1994,0.03266721907967637,0.07320448423075798,0.00869468815117459
Andorra,65 to 69,Both sexes,Deaths,Number,Escherichia coli,Carbapenems,Associated,1995,0.029209720442039688,0.06573309423215398,0.007728065747251874
Andorra,65 to 69,Both sexes,Deaths,Number,Escherichia coli,Carbapenems,Associated,1996,0.029917402459458637,0.06629935190614804,0.00802417819804321
