Location,Age,Sex,Measure,Metric,Pathogen,Antibiotic class,Counterfactual,Year,Value,Upper,Lower
Andorra,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1990,0.0003085533032574,0.000478771616789,0.0001383349897258
Andorra,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1991,0.0003327377204813,0.0005028055087488,0.0001626699322139
Andorra,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1992,0.00034640246839928886,0.0005219524978475224,0.00017085243895105528
Andorra,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1993,0.0002873697827163,0.0004237367756402,0.0001510027897924
Andorra,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1994,0.0002561611544213,0.0003917734447674,0.0001205488640751
Andorra,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1995,0.0002274392825722,0.0003533135019111,0.0001015650632334
Andorra,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1996,0.0001808208762816,0.0002838167631496,0.00007782498941357953
Andorra,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1997,0.0001945770007896,0.0002953241316219,0.00009382986995736034
Andorra,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1998,0.0001866736161912,0.0002886285880314,0.00008471864435104104
Andorra,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1999,0.00016558061021589235,0.00025881956931352805,0.00007234165111825663
Andorra,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2000,0.00015480584075819976,0.0002392815861934685,0.00007033009532293101
Andorra,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2001,0.00014369606382035575,0.00021929338228508197,0.00006809874535562956
Andorra,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2002,0.00012191256792642538,0.0001895529633019239,0.00005427217255092686
Andorra,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2003,0.00016323939815284942,0.0002477214994791548,0.0000787572968265441
Andorra,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2004,0.00018027078457793588,0.00027055214126444336,0.0000899894278914284
Andorra,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2005,0.00018928256927985376,0.0002847145040593995,0.000093850634500308
Andorra,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2006,0.0002133135932693664,0.00032503307055858303,0.0001015941159801498
Andorra,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2007,0.00021274540482986697,0.00032319293913023346,0.00010229787052950052
Andorra,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2008,0.0001897419146618159,0.0002886588110799941,0.0000908250182436377
Andorra,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2009,0.00017281613191133147,0.0002583907547830299,0.00008724150903963304
Andorra,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2010,0.0001278308187393164,0.000201972573187426,0.000053689064291206765
Andorra,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2011,0.00013820815542352305,0.00020588402864697768,0.00007053228220006839
