Location,Age,Sex,Measure,Metric,Pathogen,Antibiotic class,Counterfactual,Year,Value,Upper,Lower
Azerbaijan,20 to 24,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Associated,1990,235.3315445785329,312.4582830327631,158.20480612430268
Azerbaijan,20 to 24,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Associated,1991,289.9502629808119,380.9359419153025,198.96458404632125
Azerbaijan,20 to 24,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Associated,1992,685.2722616785309,1040.2640109843535,330.2805123727082
Azerbaijan,20 to 24,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Associated,1993,587.7613406228153,847.1491185103436,328.373562735287
Azerbaijan,20 to 24,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Associated,1994,636.2200686419087,879.2115902060457,393.2285470777717
Azerbaijan,20 to 24,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Associated,1995,354.80033660287836,463.0802656637011,246.52040754205566
Azerbaijan,20 to 24,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Associated,1996,267.50551858326145,345.62335212328935,189.38768504323355
Azerbaijan,20 to 24,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Associated,1997,263.5480919796436,335.22912052256294,191.8670634367242
Azerbaijan,20 to 24,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Associated,1998,261.35338617197783,333.9814539338082,188.72531841014748
Azerbaijan,20 to 24,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Associated,1999,248.5180055680813,323.58816367114247,173.44784746502012
Azerbaijan,20 to 24,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Associated,2000,230.93332231055064,299.41057238465226,162.45607223644902
Azerbaijan,20 to 24,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Associated,2001,218.9788916118266,279.59562907878166,158.36215414487157
Azerbaijan,20 to 24,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Associated,2002,205.76773278193713,264.1548241723261,147.38064139154818
Azerbaijan,20 to 24,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Associated,2003,208.45883175310433,267.7279014691905,149.18976203701817
Azerbaijan,20 to 24,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Associated,2004,224.6577488151867,283.4122273885104,165.90327024186297
Azerbaijan,20 to 24,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Associated,2005,244.77780595652604,306.47471258253506,183.080899330517
Azerbaijan,20 to 24,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Associated,2006,241.39363145565758,307.61070896968374,175.1765539416314
Azerbaijan,20 to 24,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Associated,2007,242.778872916687,308.4818038079454,177.07594202542856
Azerbaijan,20 to 24,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Associated,2008,247.59868744970083,307.1538827688975,188.04349213050415
Azerbaijan,20 to 24,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Associated,2009,256.2715125639314,325.55248374005623,186.99054138780662
Azerbaijan,20 to 24,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Associated,2010,289.7431881045184,358.86552818290147,220.62084802613538
Azerbaijan,20 to 24,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Associated,2011,278.2689138843437,338.4134797705619,218.12434799812556
Azerbaijan,20 to 24,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Associated,2012,278.1756665119658,348.4227881602643,207.92854486366727
Azerbaijan,20 to 24,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Associated,2013,283.89228209795897,356.840864598045,210.94369959787292
