Location,Age,Sex,Measure,Metric,Pathogen,Antibiotic class,Counterfactual,Year,Value,Upper,Lower
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1990,2.958328081761773,4.046648617919395,1.8700075456041512
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1991,2.8497170478205867,3.898455971610444,1.8009781240307297
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1992,2.5858987338425052,3.5945213619737535,1.577276105711257
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1993,2.47720880024917,3.4360833265801976,1.518334273918143
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1994,2.3982481111101506,3.306206399764746,1.4902898224555547
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1995,2.3049980904484144,3.16492258046186,1.4450736004349691
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1996,2.09457396983798,2.8801865095121366,1.308961430163822
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1997,2.0006049102655763,2.734366147477865,1.2668436730532875
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1998,1.9122358101392567,2.6423291418232835,1.18214247845523
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1999,1.7859481685426455,2.4213621532059815,1.1505341838793095
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2000,1.6161239577041637,2.1811679448247077,1.05107997058362
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2001,1.4686818691361694,1.9599074153947293,0.9774563228776094
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2002,1.3318344652705276,1.8142069936082517,0.8494619369328037
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2003,1.2814416593098032,1.7172203785952544,0.845662940024352
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2004,1.334217966547734,1.7937928602928483,0.8746430728026198
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2005,1.38460971357624,1.8195978793476477,0.9496215478048324
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2006,1.349997210920685,1.8137260159920232,0.8862684058493469
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2007,1.290374621708172,1.7093392858966074,0.8714099575197365
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2008,1.2153513545069745,1.61022623119994,0.820476477814009
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2009,1.1276532553792544,1.5016607490615386,0.7536457616969703
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2010,1.1404551618322651,1.506711986649672,0.7741983370148582
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2011,1.002956598849262,1.3185680055250373,0.6873451921734866
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2012,0.915927717799184,1.2256485729625661,0.6062068626358019
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2013,0.8335558691004656,1.1122464327322157,0.5548653054687155
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2014,0.844241648404416,1.1066773537412695,0.5818059430675623
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2015,0.7882242469917127,1.0333788367720436,0.5430696572113818
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2016,0.7823355138280681,1.0165825040736731,0.548088523582463
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2017,0.8656272146409023,1.129616034197781,0.6016383950840237
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2018,0.9532660901385994,1.216296087250665,0.6902360930265339
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2019,0.9038458404508931,1.1608343455491237,0.6468573353526625
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2020,0.8105212239674728,1.0396282570665678,0.5814141908683779
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2021,0.6109817799894278,0.788202618907298,0.4337609410715576
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,1990,0.4647661492431955,0.7377443508313354,0.1917879476550555
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,1991,0.4525143207360559,0.7172238957434505,0.1878047457286615
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,1992,0.43698085350894456,0.6980073089407497,0.17595439807713936
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,1993,0.411819486556769,0.666166245085241,0.1574727280282969
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,1994,0.3940325276694316,0.6364969210960367,0.1515681342428265
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,1995,0.381799387695657,0.6146928618304472,0.1489059135608667
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,1996,0.3638654400270421,0.5774494990697208,0.1502813809843634
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,1997,0.3606268230911446,0.5555619897298141,0.165691656452475
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,1998,0.3347033900911156,0.5234167085690227,0.1459900716132086
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,1999,0.3152042048039058,0.4885701957123536,0.14183821389545806
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2000,0.2919365595454668,0.44403932434564675,0.13983379474528693
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2001,0.2643585029917656,0.41400069004112955,0.11471631594240167
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2002,0.2518829481142387,0.39982635176884596,0.1039395444596315
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2003,0.247074212721324,0.3914099822761298,0.1027384431665182
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2004,0.2448449632801324,0.3913259306715984,0.0983639958886664
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2005,0.24765597191280359,0.4051121523919122,0.090199791433695
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2006,0.26261348608559165,0.42165422310027045,0.10357274907091282
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2007,0.24837213104285827,0.3977902811610315,0.09895398092468505
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2008,0.22714671170839584,0.36146329194973315,0.09283013146705851
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2009,0.21399284441366234,0.3345691790412278,0.0934165097860969
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2010,0.20801492157094198,0.3216780244195807,0.09435181872230324
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2011,0.19925036852787312,0.3055650337189164,0.09293570333682981
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2012,0.18910262723746832,0.28839147317449565,0.08981378130044101
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2013,0.18792612192830582,0.28081778507167626,0.09503445878493537
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2014,0.21223925689149314,0.2971431474212888,0.12733536636169748
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2015,0.22042152817240393,0.30042001750413627,0.14042303884067156
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2016,0.2337942435073568,0.31105026128694274,0.15653822572777087
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2017,0.27309736454119027,0.3618400636903868,0.18435466539199372
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2018,0.2953463199460746,0.3905208132117375,0.20017182668041167
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2019,0.2969409857539269,0.39651234497344034,0.19736962653441348
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2020,0.27530655408785454,0.36787416705644405,0.18273894111926506
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2021,0.2016546374160694,0.2718949299744482,0.1314143448576906
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Escherichia coli,Carbapenems,Attributable,1990,1.058051939773781,2.125802842566601,0
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Escherichia coli,Carbapenems,Attributable,1991,0.997176083113706,2.0026008913844007,0
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Escherichia coli,Carbapenems,Attributable,1992,1.0444267765801298,2.061044996377981,0.027808556782279004
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Escherichia coli,Carbapenems,Attributable,1993,0.9968033460825892,1.934265669652698,0.0593410225124803
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Escherichia coli,Carbapenems,Attributable,1994,0.9239278576781408,1.7776418541708852,0.070213861185396
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Escherichia coli,Carbapenems,Attributable,1995,0.8699714031900401,1.659555186613788,0.0803876197662921
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Escherichia coli,Carbapenems,Attributable,1996,0.8145780342702775,1.554180713552365,0.0749753549881899
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Escherichia coli,Carbapenems,Attributable,1997,0.8085927423021773,1.5515059820676576,0.0656795025366968
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Escherichia coli,Carbapenems,Attributable,1998,0.7445584423461697,1.4210525129361495,0.06806437175619
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Escherichia coli,Carbapenems,Attributable,1999,0.6621436201046393,1.2458633865420417,0.07842385366723703
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Escherichia coli,Carbapenems,Attributable,2000,0.6072137996772189,1.1362017291716628,0.07822587018277483
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Escherichia coli,Carbapenems,Attributable,2001,0.5522412520830294,1.0254678725248854,0.07901463164117345
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Escherichia coli,Carbapenems,Attributable,2002,0.5068975174782285,0.9463415789629566,0.06745345599350056
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Escherichia coli,Carbapenems,Attributable,2003,0.48357826420003025,0.8888200409994926,0.07833648740056792
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Escherichia coli,Carbapenems,Attributable,2004,0.4672931456432049,0.8617729087853221,0.07281338250108771
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Escherichia coli,Carbapenems,Attributable,2005,0.4727880194280435,0.862091250840912,0.08348478801517506
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Escherichia coli,Carbapenems,Attributable,2006,0.5240688165585878,0.9574915645680601,0.09064606854911561
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Escherichia coli,Carbapenems,Attributable,2007,0.44458624069741015,0.8160487322587795,0.07312374913604075
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Escherichia coli,Carbapenems,Attributable,2008,0.4243543100253778,0.7759071961033177,0.07280142394743788
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Escherichia coli,Carbapenems,Attributable,2009,0.4070656146312027,0.7488281424313037,0.0653030868311017
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Escherichia coli,Carbapenems,Attributable,2010,0.38203373377041416,0.7114350297437793,0.052632437797049125
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Escherichia coli,Carbapenems,Attributable,2011,0.31500075347136247,0.589115939061106,0.0408855678816189
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Escherichia coli,Carbapenems,Attributable,2012,0.3041246512399962,0.5751237415113575,0.03312556096863489
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Escherichia coli,Carbapenems,Attributable,2013,0.3068809049205669,0.5874102211340995,0.026351588707034412
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Escherichia coli,Carbapenems,Attributable,2014,0.2880251215348783,0.5450147738054776,0.03103546926427908
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Escherichia coli,Carbapenems,Attributable,2015,0.29521409083147504,0.5644573265441073,0.02597085511884284
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Escherichia coli,Carbapenems,Attributable,2016,0.30892732098078707,0.5919342503235843,0.025920391637989815
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Escherichia coli,Carbapenems,Attributable,2017,0.35123034394879876,0.6746413616168937,0.027819326280703827
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Escherichia coli,Carbapenems,Attributable,2018,0.37408684951109217,0.7153975455141366,0.0327761535080478
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Escherichia coli,Carbapenems,Attributable,2019,0.33207387974399827,0.6272622658995141,0.036885493588482476
Azerbaijan,1-5 months,Both sexes,Deaths,Number,Escherichia coli,Carbapenems,Attributable,2020,0.3354373214990186,0.6385147833923455,0.03235985960569171
