Location,Age,Sex,Measure,Metric,Pathogen,Antibiotic class,Counterfactual,Year,Value,Upper,Lower
Georgia,2 to 4,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,1990,14.342213944532002,20.20790698726624,8.476520901797766
Georgia,2 to 4,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,1991,13.591654431980285,19.021358050648765,8.161950813311805
Georgia,2 to 4,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,1992,12.369135195665285,17.5060389456135,7.232231445717068
Georgia,2 to 4,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,1993,11.893793829891582,16.731451748548018,7.056135911235147
Georgia,2 to 4,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,1994,10.438263969085751,14.663213222936829,6.213314715234677
Georgia,2 to 4,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,1995,9.271107919820048,12.974870033973202,5.567345805666895
Georgia,2 to 4,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,1996,8.843530057606124,12.321453178370144,5.365606936842102
Georgia,2 to 4,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,1997,8.163537853352656,11.471502180835968,4.855573525869344
Georgia,2 to 4,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,1998,8.101033972756706,11.286823813957522,4.915244131555891
Georgia,2 to 4,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,1999,7.297211937564901,10.149340806659147,4.445083068470655
Georgia,2 to 4,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,2000,7.377296617226939,10.154183173438236,4.600410061015642
