Location,Age,Sex,Measure,Metric,Pathogen,Antibiotic class,Counterfactual,Year,Value,Upper,Lower
Georgia,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1990,0.5410348099102317,0.763565383745133,0.3185042360753303
Georgia,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1991,0.505738010111983,0.6983956177203848,0.3130804025035812
Georgia,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1992,0.42149102227086876,0.5938409395041465,0.249141105037591
Georgia,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1993,0.3866815466500944,0.5427504073119523,0.2306126859882365
Georgia,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1994,0.3697989539067176,0.5202171982635487,0.2193807095498865
Georgia,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1995,0.3504813128228217,0.4907708456655315,0.210191779980112
Georgia,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1996,0.3440354970898063,0.4775479426959724,0.2105230514836402
Georgia,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1997,0.3290906429899572,0.4465209797186464,0.2116603062612681
Georgia,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1998,0.3278734206241298,0.4502169941767617,0.2055298470714978
Georgia,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1999,0.2971586637525451,0.3992197310139831,0.19509759649110714
Georgia,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2000,0.293097070183657,0.3907065271180271,0.1954876132492869
Georgia,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2001,0.279303694442535,0.3702761389635379,0.1883312499215321
Georgia,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2002,0.24960227755081715,0.33155158961847986,0.16765296548315445
Georgia,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2003,0.2331985214078294,0.31264447173905935,0.15375257107659945
Georgia,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2004,0.2494598419926409,0.3310621538759516,0.1678575301093302
Georgia,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2005,0.2372976327659535,0.31304238921904204,0.161552876312865
