Location,Age,Sex,Measure,Metric,Pathogen,Antibiotic class,Counterfactual,Year,Value,Upper,Lower
Albania,95 plus,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,1990,2.5798970251754128,3.5646214683016795,1.595172582049146
Albania,95 plus,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,1991,2.4997638269027544,3.419891445653984,1.5796362081515256
Albania,95 plus,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,1992,2.454734121130752,3.303916907488184,1.60555133477332
Albania,95 plus,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,1993,2.3425792275765973,3.2207345451578364,1.464423909995358
Albania,95 plus,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,1994,2.2353440720923223,3.079297150909646,1.3913909932749988
Albania,95 plus,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,1995,2.238603527257451,3.2544770851616738,1.222729969353228
Albania,95 plus,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,1996,2.1405813836402414,2.9095618299392294,1.3716009373412537
Albania,95 plus,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,1997,2.2530445049640915,3.122662196839832,1.383426813088351
Albania,95 plus,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,1998,2.3087024018516784,3.144269373243092,1.4731354304602648
Albania,95 plus,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,1999,2.4335897979965706,3.522798841348434,1.3443807546447073
Albania,95 plus,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,2000,2.6178190302659083,3.657364869994727,1.5782731905370895
Albania,95 plus,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,2001,2.38338560537047,3.300152167855919,1.4666190428850205
Albania,95 plus,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,2002,2.52310708102566,3.45670537377818,1.58950878827314
Albania,95 plus,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,2003,2.57546996720657,3.5558830647966655,1.5950568696164746
Albania,95 plus,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,2004,2.6652073172464807,3.6993501626299397,1.631064471863022
Albania,95 plus,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,2005,2.6107799962508587,3.61698361654485,1.6045763759568672
Albania,95 plus,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,2006,2.3721977528563807,3.3460379002392475,1.3983576054735138
Albania,95 plus,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,2007,2.2880782104631723,3.0857224336567297,1.4904339872696146
Albania,95 plus,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,2008,2.4004152983238645,3.297176590743069,1.50365400590466
