Location,Age,Sex,Measure,Metric,Pathogen,Antibiotic class,Counterfactual,Year,Value,Upper,Lower
Albania,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1990,0.9852177313317056,1.3417993078860315,0.6286361547773797
Albania,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1991,0.911465415223284,1.238970160496484,0.5839606699500839
Albania,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1992,0.9135173110267318,1.2387099684208018,0.5883246536326617
Albania,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1993,0.8848642646993262,1.2008090545299137,0.5689194748687387
Albania,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1994,0.8508332956456661,1.1506137271270491,0.5510528641642831
Albania,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1995,0.734182900635913,1.0027496503984437,0.4656161508733822
Albania,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1996,0.6653872814319373,0.910144241933574,0.4206303209303004
Albania,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1997,0.6021289767123046,0.8263688537593048,0.3778890996653044
Albania,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1998,0.5336031133497312,0.731674665691269,0.3355315610081933
Albania,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1999,0.4911510661543433,0.6707569938308466,0.31154513847783993
Albania,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2000,0.4569745259188073,0.6086961990637725,0.305252852773842
Albania,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2001,0.3874942614069359,0.5219215409421487,0.253066981871723
Albania,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2002,0.3537916312021846,0.4764126391241408,0.23117062328022842
Albania,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2003,0.301781899906885,0.4088544571657079,0.19470934264806206
Albania,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2004,0.2746608432075264,0.3608401622443128,0.1884815241707399
Albania,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2005,0.23790025621146507,0.30773945026887534,0.1680610621540548
Albania,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2006,0.20066247895659375,0.2720887661682424,0.12923619174494508
Albania,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2007,0.1739345202153685,0.23006096666087772,0.11780807376985929
Albania,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2008,0.14654437147841337,0.19821990718972993,0.09486883576709682
Albania,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2009,0.12314094612401173,0.1633287314756674,0.08295316077235607
Albania,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2010,0.11696060184084384,0.151965762036848,0.08195544164483967
Albania,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2011,0.1109256603230536,0.14119667496599878,0.08065464568010841
Albania,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2012,0.10083845650147483,0.13278393756461204,0.06889297543833761
Albania,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2013,0.0880179259516951,0.11249206400618941,0.06354378789720078
Albania,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2014,0.07841074250874375,0.10129276445360813,0.055528720563879364
Albania,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2015,0.06627952796051742,0.08402497713142021,0.04853407878961463
Albania,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2016,0.056829032271570296,0.07286825266779665,0.040789811875343945
Albania,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2017,0.05367889860242708,0.06964759261886697,0.0377102045859872
Albania,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2018,0.04942819223748179,0.06295230689808476,0.03590407757687882
Albania,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2019,0.04412974512873251,0.05817631078130559,0.030083179476159426
Albania,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2020,0.0381177687361261,0.04936762077874474,0.02686791669350746
Albania,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2021,0.031362029406214936,0.03992252925536002,0.022801529557069853
Albania,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,1990,0.1419908449558859,0.2207314812514576,0.0632502086603142
Albania,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,1991,0.1345719413520758,0.2081331404011056,0.061010742303046
Albania,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,1992,0.1332429194838042,0.2047712886919546,0.061714550275653826
