"Year","metric","priority_group","sdi_cat","ASR","lower_CI","upper_CI"
1990,"Associated_DALYs (Disability-Adjusted Life Years)","Critical","low",63.3046980783455,63.0033169680388,63.6098625856669
1990,"Associated_DALYs (Disability-Adjusted Life Years)","Critical","middle_high",8.75122883924553,6.722484764701,11.3582519658092
1990,"Associated_DALYs (Disability-Adjusted Life Years)","Critical","middle_low",38.6190344438627,34.84855843725,44.081271927542
1990,"Associated_DALYs (Disability-Adjusted Life Years)","High","low",63.1083475527544,62.7281071246913,63.4947438417609
1990,"Associated_DALYs (Disability-Adjusted Life Years)","High","middle_high",14.484233927087,10.9976615852166,19.1599041452261
1990,"Associated_DALYs (Disability-Adjusted Life Years)","High","middle_low",30.2484677607747,26.3923330759422,37.1970273499332
1990,"Associated_DALYs (Disability-Adjusted Life Years)","Medium","low",127.546714438722,126.906484971068,128.198623630122
1990,"Associated_DALYs (Disability-Adjusted Life Years)","Medium","middle_high",12.6384811329397,8.18883617198742,19.1448934366754
1990,"Associated_DALYs (Disability-Adjusted Life Years)","Medium","middle_low",124.30692140616,112.173799707165,141.9463618018
1990,"Associated_Deaths","Critical","low",1.79267159725164,1.73247622538784,1.85718785583099
1990,"Associated_Deaths","Critical","middle_high",0.34256874877721,0.0614738086071366,1.39743258127777
1990,"Associated_Deaths","Critical","middle_low",1.35620863243694,0.630719466093688,4.95448068751344
1990,"Associated_Deaths","High","low",1.99932612236475,1.90863968449553,2.09952941376159
1990,"Associated_Deaths","High","middle_high",0.673396335488971,0.106933698466237,2.93573099469508
1990,"Associated_Deaths","High","middle_low",1.24057892163305,0.375433939557864,9.047421985273
1990,"Associated_Deaths","Medium","low",2.36620765342594,2.25806021221063,2.4883589537071
1990,"Associated_Deaths","Medium","middle_high",0.446508269929263,0.0121831386787257,3.66215611524704
1990,"Associated_Deaths","Medium","middle_low",3.34108174312533,1.1699387733555,15.2012389004623
1990,"Attributable_DALYs (Disability-Adjusted Life Years)","Critical","low",8.46563957611102,8.35186647270275,8.58334174266107
1990,"Attributable_DALYs (Disability-Adjusted Life Years)","Critical","middle_high",1.40868758726826,0.681793560015892,2.79992840699506
1990,"Attributable_DALYs (Disability-Adjusted Life Years)","Critical","middle_low",6.5358941730072,5.02460406527151,10.2928536907291
1990,"Attributable_DALYs (Disability-Adjusted Life Years)","High","low",10.6330825091757,10.4768969102647,10.795604899748
1990,"Attributable_DALYs (Disability-Adjusted Life Years)","High","middle_high",3.01852510375875,1.5758060160913,5.83459758435933
1990,"Attributable_DALYs (Disability-Adjusted Life Years)","High","middle_low",5.51329519296315,3.89590725256191,11.2398922641612
1990,"Attributable_DALYs (Disability-Adjusted Life Years)","Medium","low",5.8048861727535,5.66712495885258,5.95542100961158
1990,"Attributable_DALYs (Disability-Adjusted Life Years)","Medium","middle_high",0.738857966288715,0.0518643905456012,4.12604367324846
1990,"Attributable_DALYs (Disability-Adjusted Life Years)","Medium","middle_low",5.70842458716926,3.36643299054451,17.1292156159127
1990,"Attributable_Deaths","Critical","low",0.256311372565754,0.23357235520445,0.283873831823161
1990,"Attributable_Deaths","Critical","middle_high",0.0539936478889855,1.48212885836721e-05,1.01162924867785
1990,"Attributable_Deaths","Critical","middle_low",0.229394445023766,0.0187428056209839,3.89068036560892
1990,"Attributable_Deaths","High","low",0.36477108134394,0.32648017365327,0.413810995293292
1990,"Attributable_Deaths","High","middle_high",0.148811114813767,0.000222372033983334,2.23429575400416
1990,"Attributable_Deaths","High","middle_low",0.233344880163958,0.0028100005356791,8.21385691004896
1990,"Attributable_Deaths","Medium","low",0.108860336222318,0.086443211521742,0.151071412731264
1990,"Attributable_Deaths","Medium","middle_high",0.0251101479738726,4.28789602499648e-29,3.08960954151539
1990,"Attributable_Deaths","Medium","middle_low",0.150967757888809,2.34444622713566e-07,12.1815259523148
1991,"Associated_DALYs (Disability-Adjusted Life Years)","Critical","low",64.2782493158181,63.9744431308713,64.5857479425452
1991,"Associated_DALYs (Disability-Adjusted Life Years)","Critical","middle_high",8.71038992727308,6.74822913818439,11.2016978887022
