"Year","metric","priority_group","sdi_cat","ASR","lower_CI","upper_CI"
1990,"Associated_DALYs (Disability-Adjusted Life Years)","Critical","high",9.53471457140966,8.53412848694755,10.8555667991429
1990,"Associated_DALYs (Disability-Adjusted Life Years)","Critical","low",80.9703533598322,80.6510263060005,81.6987064341118
1990,"Associated_DALYs (Disability-Adjusted Life Years)","Critical","middle",27.8005705709684,27.2288276648992,28.9712378004169
1990,"Associated_DALYs (Disability-Adjusted Life Years)","Critical","middle_high",11.5316669468654,11.0135083531542,13.0113233491299
1990,"Associated_DALYs (Disability-Adjusted Life Years)","Critical","middle_low",41.8424771273732,40.7677409713179,48.9258833557056
1990,"Associated_DALYs (Disability-Adjusted Life Years)","High","high",10.8853193379455,9.4068021590723,13.1116889131592
1990,"Associated_DALYs (Disability-Adjusted Life Years)","High","low",74.9294391308269,74.5899374412524,76.0164533367776
1990,"Associated_DALYs (Disability-Adjusted Life Years)","High","middle",27.4162548389157,26.7882048424832,29.1366911950692
1990,"Associated_DALYs (Disability-Adjusted Life Years)","High","middle_high",18.747877309099,18.1097232099234,21.0512928679555
1990,"Associated_DALYs (Disability-Adjusted Life Years)","High","middle_low",34.2162732599121,33.0065086937495,45.7799140504518
1990,"Associated_DALYs (Disability-Adjusted Life Years)","Medium","high",17.7997510592442,14.5521283688272,22.2331082630725
1990,"Associated_DALYs (Disability-Adjusted Life Years)","Medium","low",191.053661113261,189.922084519391,193.481805550421
1990,"Associated_DALYs (Disability-Adjusted Life Years)","Medium","middle",51.8572383257722,50.0289038648073,55.6606276743121
1990,"Associated_DALYs (Disability-Adjusted Life Years)","Medium","middle_high",24.632822086639,23.1506192293907,29.3712690010761
1990,"Associated_DALYs (Disability-Adjusted Life Years)","Medium","middle_low",106.885606056085,102.838611714356,130.156193553118
1990,"Associated_Deaths","Critical","high",0.377567335986315,0.228869262838469,1.0569236901268
1990,"Associated_Deaths","Critical","low",2.23449651577302,2.15958438528326,2.8759904334514
1990,"Associated_Deaths","Critical","middle",1.04608004829381,0.90715843500499,2.07236069871482
1990,"Associated_Deaths","Critical","middle_high",0.463843697680779,0.342886676400906,1.97452305065269
1990,"Associated_Deaths","Critical","middle_low",1.42430735740829,1.17179261248186,9.44404884113467
1990,"Associated_Deaths","High","high",0.525769883952172,0.276219617798106,2.00120293773551
1990,"Associated_Deaths","High","low",1.97900523366578,1.88168240213828,3.39984129263952
1990,"Associated_Deaths","High","middle",1.29564016127473,1.11052318159711,3.55915825711299
1990,"Associated_Deaths","High","middle_high",0.951040776417217,0.766219502653166,4.21872493679206
1990,"Associated_Deaths","High","middle_low",1.40884026552719,1.04990449555044,19.2875762175212
1990,"Associated_Deaths","Medium","high",0.701805816668552,0.289403181577574,2.96611775061828
1990,"Associated_Deaths","Medium","low",3.86135113506459,3.61466812199753,5.98780460976028
1990,"Associated_Deaths","Medium","middle",1.6922984864701,1.28245875639998,5.14966911811136
1990,"Associated_Deaths","Medium","middle_high",0.973705078573585,0.625608045704577,5.98940145568808
1990,"Associated_Deaths","Medium","middle_low",2.72293732111001,1.83423366547733,29.3609997206306
1990,"Attributable_DALYs (Disability-Adjusted Life Years)","Critical","high",1.62043256733794,1.21147085555225,2.4402587429981
1990,"Attributable_DALYs (Disability-Adjusted Life Years)","Critical","low",11.2792411129057,11.1516520218802,11.9201329267477
1990,"Attributable_DALYs (Disability-Adjusted Life Years)","Critical","middle",4.68640501445003,4.44636199177768,5.69354310695291
1990,"Attributable_DALYs (Disability-Adjusted Life Years)","Critical","middle_high",1.9788638100137,1.76885511694687,3.39681148534669
1990,"Attributable_DALYs (Disability-Adjusted Life Years)","Critical","middle_low",6.56474996643664,6.12747538840503,13.9677593811598
1990,"Attributable_DALYs (Disability-Adjusted Life Years)","High","high",2.38955116441639,1.73827464043148,3.99403302614573
1990,"Attributable_DALYs (Disability-Adjusted Life Years)","High","low",10.1844268537978,10.0411354546133,11.213866146033
1990,"Attributable_DALYs (Disability-Adjusted Life Years)","High","middle",5.39243888169101,5.12631194356922,6.99948908348587
1990,"Attributable_DALYs (Disability-Adjusted Life Years)","High","middle_high",3.9181465569272,3.63708407184396,6.18733090150564
1990,"Attributable_DALYs (Disability-Adjusted Life Years)","High","middle_low",6.34318170040812,5.82741611771944,18.697859014574
1990,"Attributable_DALYs (Disability-Adjusted Life Years)","Medium","high",1.07899822201242,0.432372872531075,3.46967654200552
1990,"Attributable_DALYs (Disability-Adjusted Life Years)","Medium","low",8.53112453356497,8.30204145108903,10.6055947872413
1990,"Attributable_DALYs (Disability-Adjusted Life Years)","Medium","middle",2.45989312347268,2.0782619197178,5.83411256467202
1990,"Attributable_DALYs (Disability-Adjusted Life Years)","Medium","middle_high",1.33400366138409,1.02034716946246,6.26000290971705
1990,"Attributable_DALYs (Disability-Adjusted Life Years)","Medium","middle_low",4.73301581816716,3.92303871076349,30.7692168622725
1990,"Attributable_Deaths","Critical","high",0.0621904673425251,0.0124408990291804,0.76341406860628
1990,"Attributable_Deaths","Critical","low",0.324436302058139,0.295329120789234,1.01439309993945
1990,"Attributable_Deaths","Critical","middle",0.173355580244711,0.118392576985362,1.28440478451161
1990,"Attributable_Deaths","Critical","middle_high",0.0779048740910504,0.0343366731201173,1.68211264937759
1990,"Attributable_Deaths","Critical","middle_low",0.225253997974512,0.130434428403364,8.64336879233885
1990,"Attributable_Deaths","High","high",0.119564176558764,0.0232675431200928,1.64012050810863
1990,"Attributable_Deaths","High","low",0.306083452451422,0.26494519820363,1.86777368742119
1990,"Attributable_Deaths","High","middle",0.266012508169416,0.186548883084399,2.70108676634925
1990,"Attributable_Deaths","High","middle_high",0.205833348193901,0.127608888339903,3.66463930008871
1990,"Attributable_Deaths","High","middle_low",0.272809169475328,0.130921651022842,18.6063260691258
1990,"Attributable_Deaths","Medium","high",0.0390848425915145,1.4349237789404e-05,2.35865580364019
1990,"Attributable_Deaths","Medium","low",0.173162209125089,0.125947493754211,2.60167890166068
1990,"Attributable_Deaths","Medium","middle",0.077337550154528,0.0137262789151768,3.85050376201716
1990,"Attributable_Deaths","Medium","middle_high",0.0495568939877232,0.00284925926436337,5.34560888387461
