Year,metric,priority_group,sdi_cat,ASR,lower_CI,upper_CI
1990,Associated_Deaths,High,high,0.525769884,0.276219618,2.001202938
1991,Associated_Deaths,High,high,0.520078264,0.274331525,1.955646001
1992,Associated_Deaths,High,high,0.443087702,0.304760295,1.256205634
1993,Associated_Deaths,High,high,0.409837939,0.306967332,0.971983634
1994,Associated_Deaths,High,high,0.526459922,0.434670128,0.999010263
1995,Associated_Deaths,High,high,0.589234831,0.451209432,1.057443735
1996,Associated_Deaths,High,high,0.579732687,0.442580886,1.042105014
1997,Associated_Deaths,High,high,0.584937043,0.44762442,1.042295702
1998,Associated_Deaths,High,high,0.608918571,0.482105071,1.016402305
1999,Associated_Deaths,High,high,0.605491191,0.481648233,1.009225893
2000,Associated_Deaths,High,high,0.610701583,0.486014261,1.013470583
2001,Associated_Deaths,High,high,0.727821433,0.631765846,0.999395739
2002,Associated_Deaths,High,high,0.726516355,0.630487224,0.994880092
2003,Associated_Deaths,High,high,0.832931598,0.750980646,1.06299529
2004,Associated_Deaths,High,high,0.861525782,0.782663901,1.077472723
2005,Associated_Deaths,High,high,0.852524126,0.775217272,1.065884471
2006,Associated_Deaths,High,high,0.826032089,0.757165037,1.013401898
2007,Associated_Deaths,High,high,0.970129373,0.905805564,1.132705908
2008,Associated_Deaths,High,high,1.009473591,0.910450863,1.211010231
2009,Associated_Deaths,High,high,1.001524311,0.909290645,1.236914784
2010,Associated_Deaths,High,high,0.95236968,0.868181473,1.175308689
2011,Associated_Deaths,High,high,1.01503076,0.929007058,1.294670246
2012,Associated_Deaths,High,high,0.978685916,0.903251022,1.164745995
2013,Associated_Deaths,High,high,0.959892472,0.885872431,1.160167791
2014,Associated_Deaths,High,high,0.958582858,0.885644106,1.15603532
2015,Associated_Deaths,High,high,0.935257273,0.874568129,1.065149453
2016,Associated_Deaths,High,high,0.916853644,0.858790432,1.111021445
2017,Associated_Deaths,High,high,0.895797232,0.841630836,1.052912333
2018,Associated_Deaths,High,high,0.889221882,0.836145551,1.076782617
2019,Associated_Deaths,High,high,0.887418422,0.838917978,1.029718478
2020,Associated_Deaths,High,high,0.877138094,0.832650919,0.974934775
2021,Associated_Deaths,High,high,0.850032669,0.805937112,0.948224778
1990,Associated_Deaths,High,low,1.979005234,1.881682402,3.399841293
1991,Associated_Deaths,High,low,1.970228535,1.874360979,3.210181286
1992,Associated_Deaths,High,low,1.964335853,1.871929712,3.011109956
1993,Associated_Deaths,High,low,2.018163081,1.944498199,2.980147057
1994,Associated_Deaths,High,low,2.130177218,2.058074211,2.967903403
1995,Associated_Deaths,High,low,2.016480002,1.968574382,2.081863777
1996,Associated_Deaths,High,low,2.029524285,1.982081954,2.093117635
1997,Associated_Deaths,High,low,2.0403907,1.99211648,2.104015551
1998,Associated_Deaths,High,low,1.989043618,1.942196305,2.051135129
1999,Associated_Deaths,High,low,2.029556582,1.982289033,2.092600415
2000,Associated_Deaths,High,low,1.998364829,1.9516425,2.059892429
2001,Associated_Deaths,High,low,1.977678754,1.930956414,2.038241696
2002,Associated_Deaths,High,low,1.986075982,1.947904258,2.030414547
2003,Associated_Deaths,High,low,1.968884704,1.931281351,2.012632437
2004,Associated_Deaths,High,low,1.968611514,1.931589636,2.011994473
2005,Associated_Deaths,High,low,2.001057919,1.964270827,2.043981303
2006,Associated_Deaths,High,low,2.022274363,1.984910479,2.065591269
2007,Associated_Deaths,High,low,2.045136855,2.007198588,2.088905371
2008,Associated_Deaths,High,low,2.057036832,2.018929924,2.101027392
2009,Associated_Deaths,High,low,2.01555955,1.976494781,2.060599838
2010,Associated_Deaths,High,low,2.050413024,2.011831213,2.094865526
2011,Associated_Deaths,High,low,2.105454699,2.065972119,2.150844576
2012,Associated_Deaths,High,low,2.065876229,2.025891713,2.111828213
2013,Associated_Deaths,High,low,2.055112155,2.015664453,2.100580774
2014,Associated_Deaths,High,low,2.048138641,2.008087069,2.09418502
2015,Associated_Deaths,High,low,2.109552963,2.069187899,2.155944357
2016,Associated_Deaths,High,low,2.114667231,2.073661182,2.161689117
